Target Name	101287 2001	101287 2002	101287 2004	101287 2005	101287 2007	101287 2008	101287 2011	101287 2013	101287 2014	10233 4004	10233 4005	10233 4006	10233 4007	10233 4008	10233 4009	10233 4010	10233 4011	10233 4014	10233 4015	10233 4016	10233 4017	10233 4018	10233 4019	10233 4020	107466 2003	107466 2005	107466 2006	107466 2007	107466 2008	107466 2009	107466 2010	107466 2011	107466 2012	107466 2013	107466 2015	107466 2016	107466 2017	107466 2021	98016 2006	98016 2007	98016 2009	98016 2010	98016 2014	98016 2016	98016 2018	98016 2019
ROR2	5.319071896	4.325369953	3.176834104	3.362876438	2.445883938	4.840195162	5.028180679	5.701349721	3.955312309	4.028814135	4.243912175	5.91880944	5.506025821	5.828919338	5.819009133	5.781267203	3.850976197	4.766249076	4.88626121	6.215613815	5.191495059	5.300353834	3.827430252	5.073949658	1.928771238	2.84934812	0.981378119	1.278463485	0.8	2.615363119	2.067970001	1.633985	1.787327588	1.464385619	2.007234723	1.976834104	3.430191412	1.033985	2.951727927	6.633630503	3.170349808	4.76157388	4.688518246	2.53235562	2.604334809	2.891065444
CT45A1	3.169925001	3	0	2	1.584962501	4	4.087462841	4.95419631	2.807354922	1.584962501	3.906890596	5.807354922	5.285402219	5.321928095	5.129283017	5.044394119	3.321928095	4.087462841	4.700439718	6.22881869	5.285402219	5	3.459431619	4.64385619	1.584962501	1.584962501	1	1	0	1	0	1	0	2	1.584962501	0	2.807354922	0	3	6.539158811	3.321928095	5.247927513	4.754887502	2	3	2
ATG7	5.19384006	4.211708285	3.596741239	3.550907048	2.701955001	5.154082426	5.512510117	6.153140664	4.268720428	4.691815871	5.588432448	6.89958542	6.493858619	6.756548083	6.814274008	6.799238663	5.588491089	5.843105474	6.013949742	7.229321771	6.635441527	6.039953652	4.933106047	5.936806222	5.092614473	4.626248183	3.012948553	3.506032491	2.639934469	4.503848158	4.21181924	3.51554477	4.059841604	3.030330166	4.043731421	3.843426827	4.538819877	3.629536386	3.672443563	7.236271495	3.91830593	5.641613047	4.975579039	3.504228065	3.404334809	2.795455985
PDCD1LG2	4.035437184	3.459841604	2.467970001	2.387327588	1.667970001	4.343412107	4.097410986	5.371224914	2.207234723	3.982046563	4.583126867	6.208008569	5.540606323	6.155187658	6.084685992	5.856594364	4.267076326	5.166849224	4.952028332	6.68988398	5.977189039	5.212815922	4.055812377	5.273865793	2.859841604	2.962756238	1.761470984	2.439934469	2.045763738	2.667970001	2.498370619	2.015363119	2.693826604	2.227141857	2.645763738	3.016113546	3.312448485	3.04934812	2.259841604	6.957647302	3.268720428	5.213865974	4.85508572	3.034735427	2.453357308	3.165805793
MRC1	4.098041693	3.762033988	2.744134357	2.873919469	1.9509775	4.612815922	4.99018649	5.546172346	3.486840937	5.039605063	5.137645387	6.122317247	6.706474363	6.548254873	6.718696801	6.122345723	4.895712355	5.65922708	5.78308302	6.794905494	6.614314139	5.504235054	4.514969513	5.714728805	3.176834104	4.472742578	2.921327309	3.199929547	2.712448485	3.608808371	2.638458563	3.096359886	3.823024991	2.770349808	3.804334809	3.218551428	4.393339953	2.556926969	4.00032562	7.145265115	4.01161949	6.001563992	4.4988594	3.599929547	3.012948553	3.168705707
PIK3CG	4.067468629	2.970349808	2.279748738	1.7169925	0.9169925	4.024408874	4.374741388	5.306473516	2.614828293	4.098041693	5.176152339	6.739413207	6.078098375	6.295827794	6.253211172	6.532492643	4.996528262	5.394157557	5.372871183	6.76271722	6.060432344	5.974884597	4.500436221	5.747577236	3.65703709	3.184962501	1.595455985	2.025856603	1.710149357	2.780418485	3.370349808	2.712448485	3.453445298	2.581378119	2.951727927	3.073264443	3.511723006	3.176834104	3.369220496	6.954810938	3.416113546	5.177115743	4.631227666	2.9509775	3.013352386	2.833985
PPP2R2C	3.379228632	3.104320088	0.7169925	1.033985	1.033985	3.887342308	3.915161024	4.906025821	2.184962501	3.390325244	3.800444336	5.651890231	4.789602994	5.298856226	5.589782657	5.350011682	3.531820793	4.451241277	4.60829547	5.839729567	4.969220496	5.071126811	3.041219723	4.838641659	3.03335815	2.033985	0.7169925	1.2	0.4	1.645763738	1.298370619	0.2	1.3509775	1.233985	2.290242222	1.433985	1.181378119	0.664385619	2.562756238	6.566870088	2.170349808	4.651511868	4.054059065	2.162756238	1.1169925	2.724227223
IL3RA	3.607749511	3.647337387	2.657542476	2.1169925	1.698370619	4.358771457	4.015081205	5.321812656	2.498370619	3.973405663	5.381418622	6.997573964	6.156132763	6.28306583	6.245353746	6.394787505	5.36157388	5.524187595	5.026129445	6.847024702	5.742587965	5.762265905	5.543458713	5.510853923	3.380418485	2.415363119	1.098370619	1.498370619	0.5169925	1.9509775	1.9169925	1.698370619	2.962756238	1.433985	2.504320088	2.641219723	2.53235562	1.942849104	3.747956122	6.921216851	3.308582189	5.046432182	4.691347083	2.325871324	2.420657562	2.826371392
LRRN3	3.432320861	3.546433485	1.833985	1.233985	1.033985	4.008808371	3.45913944	4.765638456	2.510149357	3.642863824	4.242219859	5.880847415	4.835022184	5.693893127	5.465711375	5.491300162	3.700439718	4.647883345	4.712305325	5.927410212	5.114733875	5.184669324	3.324227223	4.948430303	2.645763738	1.898370619	0.3169925	0.833985	0.833985	1.898370619	1.633985	0.2	1.795455985	0.864385619	1.864385619	1.498370619	1.961470984	1.1169925	2.493826604	6.664123583	2.774534976	5.06467831	4.233771388	2.376834104	2.162756238	2.239934469
COX6B1	6.409769051	4.870491029	4.677599251	4.793429699	4.106428563	6.070159787	6.240182725	6.715653981	5.385511182	5.420293665	6.802495943	7.773469367	7.496647524	7.592191209	7.485272607	7.660307505	6.380166816	6.571812219	6.763052313	7.840632946	7.486461515	6.746242533	5.943651741	6.93669751	5.968210924	5.544769346	4.195530892	4.539590342	3.264315166	4.644302733	4.603907253	4.204728133	5.091555652	4.147322666	5.186522234	4.437909661	5.268533004	4.519862534	4.799568069	8.089060507	5.213003798	6.538735096	5.95190087	4.433511805	4.403646014	4.150476129
