,logFC,AveExpr,t,P.Value,adj.P.Val,B
CTSS,-0.975659629,5.958785998,-3.821314035,0.000538102,0.019118441,-0.352323125
C1QB,-1.093997244,6.60772753,-3.800348902,0.000570974,0.019809494,-0.407796843
C1QA,-1.073962683,6.622442253,-3.795153834,0.000579417,0.019809494,-0.42152502
COL3A1,-1.058188806,7.51203673,-3.770197557,0.000621694,0.020166345,-0.487372177
LAIR1,-0.66820278,4.907171139,-3.769506241,0.000622907,0.020166345,-0.489193821
SLAMF7,-0.594319881,5.796404194,-3.769315161,0.000623242,0.020166345,-0.489697303
NLRC5,-1.005318016,6.261986337,-3.761185845,0.000637685,0.02027166,-0.51110817
GNLY,-0.538576689,5.288272861,-3.723004404,0.000709977,0.021804722,-0.611426171
ICAM1,-0.527637338,5.383719685,-3.708295116,0.000739898,0.022344911,-0.649964516
BST1,0.216826932,5.302819566,3.6966323,0.000764487,0.022709017,-0.680477372
CCL2,-0.730072407,6.245388489,-3.659259647,0.000848731,0.024357969,-0.77798895
ITGB7,-0.29711171,4.999375348,-3.658479832,0.000850581,0.024357969,-0.780019272
NKG7,-0.459634084,5.401978166,-3.643370391,0.000887211,0.024357969,-0.819322548
LILRB4,-0.637909808,5.404442609,-3.61930961,0.000948711,0.024988646,-0.881769516
ITGAL,-0.507308123,5.217807847,-3.618234072,0.000951554,0.024988646,-0.88455687
RAC2,-0.334414874,5.582356761,-3.540806495,0.001179363,0.029271706,-1.084277637
CD37,-0.254370939,5.54897036,-3.535907964,0.001195423,0.029271706,-1.096849595
CD4,-0.578529266,5.732802101,-3.519590289,0.001250455,0.029788809,-1.138672679
RIPK3,-0.223590887,5.129809562,-3.512205639,0.001276155,0.029788809,-1.157571532
TYMP,-0.791927137,6.346930476,-3.510461209,0.0012823,0.029788809,-1.162033292
TAP2,-0.579970311,6.097015271,-3.505051104,0.001301539,0.029853023,-1.175864475
COL1A1,-1.00021946,7.47033585,-3.500051547,0.001319565,0.029888157,-1.188637525
LGALS9,-0.510535822,5.445908587,-3.475084636,0.001413244,0.031190013,-1.252300071
LGALS3,-0.626668247,5.735181823,-3.470959244,0.001429327,0.031190013,-1.262799297
TUBB,0.481594712,9.393047898,3.466755932,0.001445895,0.031190013,-1.273490949
IL15RA,-0.267016515,4.763354287,-3.447477336,0.001524278,0.03220448,-1.32245195
MMP9,-0.778927856,5.729279954,-3.44647378,0.001528469,0.03220448,-1.324997178
CYBB,-0.650945313,5.514576246,-3.439040543,0.001559852,0.032487954,-1.343838695
HLA-E,-1.096233942,8.152161484,-3.418302629,0.001650717,0.033989757,-1.396303919
NFKBIE,0.183230454,5.341875372,3.410122751,0.001687938,0.034365655,-1.41695731
IL6ST,-0.352789766,5.711679044,-3.365920389,0.001903429,0.037313425,-1.528155922
FAM124B,0.361222209,5.463049175,3.363666984,0.001915093,0.037313425,-1.533806086
RELB,-0.252986398,5.243763083,-3.350636119,0.0019839,0.038242844,-1.566443563
CD3E,-0.249288511,5.221100447,-3.335590811,0.002066291,0.039341604,-1.604049712
TMEM140,-0.244448849,4.937905037,-3.332374722,0.002084323,0.039341604,-1.612077669
